date, value
5-Aug-1974,0.649
6-Aug-1974,0.646
7-Aug-1974,0.626
8-Aug-1974,0.625
9-Aug-1974,0.6243
12-Aug-1974,0.6047
13-Aug-1974,0.624
14-Aug-1974,0.604
15-Aug-1974,0.599
16-Aug-1974,0.5935
19-Aug-1974,0.582
20-Aug-1974,0.602
21-Aug-1974,0.622
22-Aug-1974,0.642
23-Aug-1974,0.6615
26-Aug-1974,0.7015
27-Aug-1974,0.6942
28-Aug-1974,0.6594
29-Aug-1974,0.6381
30-Aug-1974,0.6048
3-Sep-1974,0.5735
4-Sep-1974,0.5645
5-Sep-1974,0.556
6-Sep-1974,0.5615
9-Sep-1974,0.5625
10-Sep-1974,0.565
11-Sep-1974,0.548
12-Sep-1974,0.538
13-Sep-1974,0.518
16-Sep-1974,0.5017
17-Sep-1974,0.5217
18-Sep-1974,0.5045
19-Sep-1974,0.5245
20-Sep-1974,0.5215
23-Sep-1974,0.5415
24-Sep-1974,0.549
25-Sep-1974,0.569
26-Sep-1974,0.5615
27-Sep-1974,0.562
30-Sep-1974,0.542
1-Oct-1974,0.5445
2-Oct-1974,0.5525
3-Oct-1974,0.565
4-Oct-1974,0.564
7-Oct-1974,0.565
8-Oct-1974,0.585
9-Oct-1974,0.5805
10-Oct-1974,0.5845
11-Oct-1974,0.5844
15-Oct-1974,0.5962
16-Oct-1974,0.5932
17-Oct-1974,0.5858
18-Oct-1974,0.5835
21-Oct-1974,0.574
22-Oct-1974,0.58
23-Oct-1974,0.58
24-Oct-1974,0.5725
25-Oct-1974,0.5665
28-Oct-1974,0.579
29-Oct-1974,0.57
30-Oct-1974,0.5759
31-Oct-1974,0.576
1-Nov-1974,0.572
4-Nov-1974,0.572
6-Nov-1974,0.58
7-Nov-1974,0.5873
8-Nov-1974,0.5965
12-Nov-1974,0.6165
13-Nov-1974,0.5997
14-Nov-1974,0.609
15-Nov-1974,0.608
18-Nov-1974,0.6185
19-Nov-1974,0.632
20-Nov-1974,0.6205
21-Nov-1974,0.6135
22-Nov-1974,0.6075
25-Nov-1974,0.5991
26-Nov-1974,0.5979
27-Nov-1974,0.6089
29-Nov-1974,0.6144
2-Dec-1974,0.6135
3-Dec-1974,0.6077
4-Dec-1974,0.599
5-Dec-1974,0.579
6-Dec-1974,0.5758
9-Dec-1974,0.587
10-Dec-1974,0.579
11-Dec-1974,0.5825
12-Dec-1974,0.5958
13-Dec-1974,0.5913
16-Dec-1974,0.6023
17-Dec-1974,0.5935
18-Dec-1974,0.5968
19-Dec-1974,0.6
20-Dec-1974,0.6015
23-Dec-1974,0.6
27-Dec-1974,0.6013
30-Dec-1974,0.596
31-Dec-1974,0.5962
2-Jan-1975,0.5959
3-Jan-1975,0.5941
6-Jan-1975,0.5865
7-Jan-1975,0.584
8-Jan-1975,0.5825
9-Jan-1975,0.576
10-Jan-1975,0.5728
13-Jan-1975,0.5568
14-Jan-1975,0.565
15-Jan-1975,0.5535
16-Jan-1975,0.5465
17-Jan-1975,0.549
20-Jan-1975,0.546
21-Jan-1975,0.5383
22-Jan-1975,0.537
23-Jan-1975,0.5405
24-Jan-1975,0.5605
27-Jan-1975,0.5523
28-Jan-1975,0.5498
29-Jan-1975,0.553
30-Jan-1975,0.552
31-Jan-1975,0.5475
3-Feb-1975,0.5518
4-Feb-1975,0.549
5-Feb-1975,0.5396
6-Feb-1975,0.54
7-Feb-1975,0.5387
10-Feb-1975,0.537
11-Feb-1975,0.544
13-Feb-1975,0.564
14-Feb-1975,0.557
18-Feb-1975,0.537
19-Feb-1975,0.522
20-Feb-1975,0.5225
21-Feb-1975,0.5275
24-Feb-1975,0.5205
25-Feb-1975,0.523
26-Feb-1975,0.5187
27-Feb-1975,0.516
28-Feb-1975,0.514
3-Mar-1975,0.5075
4-Mar-1975,0.5185
5-Mar-1975,0.513
6-Mar-1975,0.5145
7-Mar-1975,0.522
10-Mar-1975,0.523
11-Mar-1975,0.523
12-Mar-1975,0.516
13-Mar-1975,0.515
14-Mar-1975,0.5085
17-Mar-1975,0.502
18-Mar-1975,0.5092
19-Mar-1975,0.508
20-Mar-1975,0.506
21-Mar-1975,0.5098
24-Mar-1975,0.51
25-Mar-1975,0.514
26-Mar-1975,0.5162
27-Mar-1975,0.519
31-Mar-1975,0.519
1-Apr-1975,0.5105
2-Apr-1975,0.4943
3-Apr-1975,0.5005
4-Apr-1975,0.4885
7-Apr-1975,0.4915
8-Apr-1975,0.484
9-Apr-1975,0.4775
10-Apr-1975,0.47
11-Apr-1975,0.463
14-Apr-1975,0.469
15-Apr-1975,0.475
16-Apr-1975,0.47
17-Apr-1975,0.475
18-Apr-1975,0.4795
21-Apr-1975,0.49
22-Apr-1975,0.4795
23-Apr-1975,0.4735
24-Apr-1975,0.468
25-Apr-1975,0.4739
28-Apr-1975,0.4756
29-Apr-1975,0.4798
30-Apr-1975,0.4855
1-May-1975,0.496
2-May-1975,0.5
5-May-1975,0.5005
6-May-1975,0.519
7-May-1975,0.5032
8-May-1975,0.5143
9-May-1975,0.516
12-May-1975,0.514
13-May-1975,0.5025
14-May-1975,0.5075
15-May-1975,0.5078
16-May-1975,0.5195
19-May-1975,0.525
20-May-1975,0.5238
21-May-1975,0.532
22-May-1975,0.545
23-May-1975,0.5465
27-May-1975,0.546
28-May-1975,0.5325
29-May-1975,0.535
30-May-1975,0.5411
2-Jun-1975,0.54
3-Jun-1975,0.547
4-Jun-1975,0.558
5-Jun-1975,0.561
6-Jun-1975,0.5725
9-Jun-1975,0.5903
10-Jun-1975,0.5845
11-Jun-1975,0.5915
12-Jun-1975,0.585
13-Jun-1975,0.5945
16-Jun-1975,0.5958
17-Jun-1975,0.5758
18-Jun-1975,0.5645
19-Jun-1975,0.5575
20-Jun-1975,0.5545
23-Jun-1975,0.5345
24-Jun-1975,0.5208
25-Jun-1975,0.5376
26-Jun-1975,0.5331
27-Jun-1975,0.5436
30-Jun-1975,0.548
1-Jul-1975,0.5443
2-Jul-1975,0.536
3-Jul-1975,0.5305
7-Jul-1975,0.5413
8-Jul-1975,0.5495
9-Jul-1975,0.5438
10-Jul-1975,0.5405
11-Jul-1975,0.5472
14-Jul-1975,0.5465
